message_id,logid,symbol,meaning,type,category,severity,wazuh_rule_id,source_url
22817,0100022817,LOG_ID_SCANUNIT_DLP_SIGNATURE_REMOVE,Scanunit DLP signature update error,Event,system,Warning,118551,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22817/22817-log-id-scanunit-dlp-signature-remove
22818,0100022818,LOG_ID_SCANUNIT_DLP_BUILDER_TIMEOUT,Scanunit DLP builder timeout,Event,system,Warning,118552,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22818/22818-log-id-scanunit-dlp-builder-timeout
22819,0100022819,LOG_ID_SCANUNIT_DLP_BUILDER_PATTERN_SKIP,Scanunit DLP dictionary pattern skipped,Event,system,Warning,118553,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22819/22819-log-id-scanunit-dlp-builder-pattern-skip
22850,0115022850,LOG_ID_USER_QUARANTINE_MAC_ADD,User quarantine MAC added,Event,switch-controller,Notice,118554,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22850/22850-log-id-user-quarantine-mac-add
22851,0115022851,LOG_ID_USER_QUARANTINE_MAC_DELETE,User quarantine MAC deleted,Event,switch-controller,Notice,118555,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22851/22851-log-id-user-quarantine-mac-delete
22852,0115022852,LOG_ID_USER_QUARANTINE_MAC_BOUNCE_PORT_HIT,User quarantine MAC bounce port hit,Event,switch-controller,Notice,118556,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22852/22852-log-id-user-quarantine-mac-bounce-port-hit
22853,0115022853,LOG_ID_USER_QUARANTINE_MAC_BOUNCE_PORT_MISS,User quarantine MAC bounce port miss,Event,switch-controller,Warning,118557,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22853/22853-log-id-user-quarantine-mac-bounce-port-miss
22861,0115022861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,118558,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22861/22861-log-id-flpold-nac-add
22862,0115022862,LOG_ID_FLPOLD_NAC_DELETE,NAC device deletion,Event,switch-controller,Information,118559,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22862/22862-log-id-flpold-nac-delete
22863,0115022863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,118560,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22863/22863-log-id-flpold-nac-modify
22864,0115022864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,118561,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22864/22864-log-id-flpold-dpp-add
22865,0115022865,LOG_ID_FLPOLD_DPP_DELETE,DPP device deletion,Event,switch-controller,Information,118562,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22865/22865-log-id-flpold-dpp-delete
22866,0115022866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,118563,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22866/22866-log-id-flpold-dpp-modify
22867,0115022867,LOG_ID_FLPOLD_DPP_INTF_TAGS_ADD,DPP interface tags add,Event,switch-controller,Information,118564,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22867/22867-log-id-flpold-dpp-intf-tags-add
22868,0115022868,LOG_ID_FLPOLD_DPP_INTF_TAGS_DELETE,DPP interface tags delete,Event,switch-controller,Information,118565,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22868/22868-log-id-flpold-dpp-intf-tags-delete
22869,0115022869,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_ADD,NAC device dynamic address addition,Event,switch-controller,Information,118566,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22869/22869-log-id-flpold-nac-dynamic-address-add
22870,0115022870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,118567,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22870/22870-log-id-flpold-nac-dynamic-address-delete
22871,0115022871,LOG_ID_FLPOLD_NAC_MAC_CACHE_SYNC,NAC MAC cache sync,Event,switch-controller,Information,118568,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22871/22871-log-id-flpold-nac-mac-cache-sync
22872,0115022872,LOG_ID_FLPOLD_NAC_MAX_ERROR,NAC device Max Limit Error,Event,switch-controller,Warning,118569,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22872/22872-log-id-flpold-nac-max-error
22873,0115022873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,118570,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22873/22873-log-id-flpold-dpp-max-error
22874,0115022874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,118571,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22874/22874-log-id-fltund-new-conn
22875,0115022875,LOG_ID_FLTUND_CONN_DOWN,Switch-controller FortilinkLite connection down,Event,switch-controller,Critical,118572,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22875/22875-log-id-fltund-conn-down
22876,0115022876,LOG_ID_FLTUND_RCV_BOOTSTRAP,Switch-controller FortilinkLite received bootstrap,Event,switch-controller,Information,118573,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22876/22876-log-id-fltund-rcv-bootstrap
22877,0115022877,LOG_ID_FLTUND_CONN_ONLINE,Switch-controller FortilinkLite tunnel online,Event,switch-controller,Notice,118574,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22877/22877-log-id-fltund-conn-online
22878,0115022878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,118575,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22878/22878-log-id-fltund-conn-offline
22890,0115022890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,118576,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22890/22890-log-id-fortilinkd
22891,0115022891,LOG_ID_FLCFGD_SYNC_ERROR,Switch-Controller Switch Sync Error,Event,switch-controller,Error,118577,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22891/22891-log-id-flcfgd-sync-error
22892,0115022892,LOG_ID_FLCFGD_SYNC_COMPLETE,Switch-Controller Switch Sync Complete,Event,switch-controller,Information,118578,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22892/22892-log-id-flcfgd-sync-complete
22893,0115022893,LOG_ID_FLCFGD_SYNC_STATE,Switch-Controller Switch Sync State,Event,switch-controller,Debug,118579,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22893/22893-log-id-flcfgd-sync-state
22894,0115022894,LOG_ID_FLCFGD_UPGRADE_ERROR,Switch-Controller Switch Upgrade Error,Event,switch-controller,Error,118580,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22894/22894-log-id-flcfgd-upgrade-error
